Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
Deere & Company,DE,24419910,2261203,0.303426,Industrials,2979566,USD
Booking Holdings Inc.,BKNG,09857L10,BDRXDB4,0.300101,Consumer Discretionary,426737,USD
Stryker Corporation,SYK,86366710,2853688,0.294473,Health Care,3714990,USD
BlackRock Inc.,BLK,09247X10,2494504,0.292426,Financials,1652763,USD
Mondelez International Inc. Class A,MDLZ,60920710,B8CKK03,0.283151,Consumer Staples,15024835,USD
ServiceNow Inc.,NOW,81762P10,B80NXX8,0.277661,Information Technology,2236820,USD
American Express Company,AXP,2581610,2026082,0.27709,Financials,6574743,USD
Applied Materials Inc.,AMAT,3822210,2046552,0.276966,Information Technology,9289380,USD
Citigroup Inc.,C,17296742,2297907,0.274152,Financials,21306254,USD
American Tower Corporation,AMT,03027X10,B7FBFL2,0.274142,Real Estate,5122122,USD
Analog Devices Inc.,ADI,3265410,2032067,0.274018,Information Technology,5584792,USD
CVS Health Corporation,CVS,12665010,2577609,0.272696,Health Care,14148936,USD
TJX Companies Inc,TJX,87254010,2989301,0.263191,Consumer Discretionary,12770637,USD
Automatic Data Processing Inc.,ADP,5301510,2065308,0.258171,Industrials,4565596,USD
Marsh & McLennan Companies Inc.,MMC,57174810,2567741,0.25669,Financials,5456055,USD
T-Mobile US Inc.,TMUS,87259010,B94Q9V0,0.249821,Communication Services,6526342,USD
Regeneron Pharmaceuticals Inc.,REGN,75886F10,2730190,0.247765,Health Care,1184504,USD
Vertex Pharmaceuticals Incorporated,VRTX,92532F10,2931034,0.247432,Health Care,2832680,USD
PayPal Holdings Inc.,PYPL,70450Y10,BYW36M8,0.243043,Financials,12466055,USD
Altria Group Inc.,MO,02209S10,2692632,0.241792,Consumer Staples,19741532,USD
Chubb Limited,CB,H1467J10,B3BQMF6,0.240316,Financials,4565551,USD
Zoetis Inc. Class A,ZTS,98978V10,B95WG16,0.237283,Health Care,5127055,USD
Charles Schwab Corp,SCHW,80851310,2779397,0.234295,Financials,16806712,USD
Southern Company,SO,84258710,2829601,0.232894,Utilities,11976137,USD
Progressive Corporation,PGR,74331510,2705024,0.228719,Financials,6436659,USD
Cigna Group,CI,12552310,BHJ0775,0.221185,Health Care,3290959,USD
Duke Energy Corporation,DUK,26441C20,B7VD3F2,0.219884,Utilities,8471785,USD
Target Corporation,TGT,8.76E+14,2259101,0.21783,Consumer Staples,5063014,USD
Fiserv Inc.,FISV,33773810,2342034,0.215023,Financials,6984954,USD
Becton Dickinson and Company,BDX,7588710,2087807,0.214951,Health Care,3125957,USD
Boston Scientific Corporation,BSX,10113710,2113434,0.2123,Health Care,15756924,USD
Schlumberger N.V.,SLB,80685710,2779201,0.206237,Energy,15648302,USD
EOG Resources Inc.,EOG,26875P10,2318024,0.202087,Energy,6461187,USD
Lam Research Corporation,LRCX,51280710,2502247,0.20069,Information Technology,1486686,USD
Aon Plc Class A,AON,G0403H10,BLP1HW5,0.197998,Financials,2275361,USD
Northrop Grumman Corp.,NOC,66680710,2648806,0.196827,Industrials,1592629,USD
CME Group Inc. Class A,CME,12572Q10,2965839,0.194435,Financials,3957309,USD
Illinois Tool Works Inc.,ITW,45230810,2457552,0.191782,Industrials,3074489,USD
Equinix Inc.,EQIX,29444U70,BVLZX12,0.190489,Real Estate,1017982,USD
CSX Corporation,CSX,12640810,2160753,0.190469,Industrials,23128500,USD
Eaton Corp. Plc,ETN,G2918310,B8KQN82,0.188361,Industrials,4382092,USD
Colgate-Palmolive Company,CL,19416210,2209106,0.188094,Consumer Staples,9202926,USD
Air Products and Chemicals Inc.,APD,915810,2011602,0.187811,Materials,2439981,USD
Micron Technology Inc.,MU,59511210,2588184,0.187772,Information Technology,12023145,USD
Humana Inc.,HUM,44485910,2445063,0.1813,Health Care,1376905,USD
Waste Management Inc.,WM,94106L10,2937667,0.178627,Industrials,4108478,USD
Activision Blizzard Inc.,ATVI,00507V10,2575818,0.177292,Communication Services,7847166,USD
HCA Healthcare Inc,HCA,40412C10,B4MGBG6,0.175208,Health Care,2332310,USD
Intercontinental Exchange Inc.,ICE,45866F10,BFSSDS9,0.174414,Financials,6157664,USD
Estee Lauder Companies Inc. Class A,EL,51843910,2320524,0.169892,Consumer Staples,2552701,USD
Cadence Design Systems Inc.,CDNS,12738710,2302232,0.168936,Information Technology,3022466,USD
3M Company,MMM,88579Y10,2595708,0.167645,Industrials,6080391,USD
Marathon Petroleum Corporation,MPC,56585A10,B3K3L40,0.166087,Energy,5002510,USD
